run,optimizer,seq_len,steps,dtype,grad_accum,last_loss,initial_loss_mean,final_loss_mean,delta_loss,rel_delta_loss_%,initial_ppl,final_ppl,delta_ppl,mean_step_time_sec,mean_tok_per_sec,max_memory_allocated_mb,max_memory_reserved_mb,memory_ratio,step_time_cv,overall_pass,loss_did_not_explode,muon_num_params,adamw_num_params
adamw_baseline_200,adamw,512,200,bf16,4,2.8813246488571167,2.905287502706051,2.860715313255787,-0.04457218945026398,-1.5341748246515508,18.270495714140704,17.474021866625776,-0.7964738475149282,3.675002811689992,487.0066726577819,4875.5283203125,5804.0,0.3269382745606719,0.028754629222360696,True,True,,
muon_baseline_200,muon,512,200,bf16,4,2.8880991339683533,2.905810634791851,2.8708138555288314,-0.03499677926301947,-1.2043723305295964,18.280056097125755,17.6513780272312,-0.6286780698945549,6.85284802366004,261.23208390987594,4190.8095703125,5134.0,0.281023093276279,0.004175388081076568,True,True,357826560.0,136206208.0
hybrid_baseline_200,hybrid,512,200,bf16,4,2.88441401720047,2.905280387401581,2.8655704513192175,-0.039709936082363395,-1.3668194042324118,18.270365714463374,17.5590669410412,-0.7112987734221754,5.630445845345007,317.1515165929041,4534.1220703125,5438.0,0.30404459761612385,0.0068957792835205025,True,True,178913280.0,315119488.0
